Timestamp,Raw Data
2026-01-14T18:24:26.228981,"B,EGM4,+329.0,+1.41"
2026-01-14T18:24:46.533995,"R000001180313170042900000000000000000000000000000000000096508
R000002180313170042900000000000000000000000000400000000096508
R000003180313170043000000000000000000000000000900000000096508
R000004180313170042900000000000000000000000001400040000096508
R000005180313170042900000000000000000000000001900030000096508
R000006180313170042900000000000000000000000002400000000096508
R000007180313170042900000000000000000000000002800010000096508
R000008180313170049700000000000000000000040003302670001096508
R000009180313170043200000000000000000000029003800690000096508
R000010180313170043000000000000000000000020004300820000096508
R000011180313170042700000000000000000000013004801240000096508
R000012180313180043200000000000000000000009005201180000096508
R000013180313180043200000000000000000000007005701070000096508
R000014180313180043000000000000000000000004006200970000096508
R000015180313180043500000000000000000000003006700790000096508
R000016180313180043100000000000000000000002007200710000096508
R000017180313180042900000000000000000000000007600650000096508
R000018180313180042800000000000000000000001008100580000096508
R000019180313180042900000000000000000000002008600500000096508
R000020180313180043100000000000000000000003009100030001096508
R000021180313180042900000000000000000000004009600040001096508
R000022180313180042800000000000000000000005010000040001096508
R000023180313180042800000000000000000000005010500050001096508
R000024180313180042800000000000000000000006011000050001096508
R000025180313190042800000000000000000000007011500050001096508
R000026180313190042700000000000000000000007012000050001096508
R000027180313190042800000000000000000000007012400050001096508
R010001180313210042900000000000000000000000000000000000096508
R010002180313210043000000000000000000000000000400000000096508
R010003180313210043300000000000000000000000000900000000096508
R010004180313210042900000000000000000000000001400720000096508
R010005180313210042800000000000000000000001001900470000096508
R010006180313210043400000000000000000000001002400070000096508
R010007180313210045500000000000000000000017002801150001096508
R010008180313210043900000000000000000000016003300440000096508
R010009180313210043100000000000000000000011003800520000096508
R010010180313210042900000000000000000000006004300770000096508
R010011180313210042800000000000000000000003004800820000096508
R010012180313220042600000000000000000000000005200790000096508
R010013180313220042800000000000000000000002005700660000096508
R010014180313220042900000000000000000000003006200510000096508
R010015180313220042700000000000000000000004006700050001096508
R010016180313220042800000000000000000000005007200060001096508
R010017180313220042800000000000000000000005007600060001096508
R010018180313220042600000000000000000000006008100070001096508
R010019180313220042600000000000000000000007008600070001096508
R010020180313220042800000000000000000000007009100070001096508
R010021180313220042800000000000000000000007009600060001096508
R010022180313220042900000000000000000000006010000060001096508
R010023180313220042800000000000000000000006010500050001096508
R010024180313220042800000000000000000000006011000050001096508
R010025180313230042900000000000000000000006011500050001096508
R010026180313230042900000000000000000000006012000040001096508
R010027180313230042900000000000000000000006012400040001096508
R010028180314310080700000000000000000000033002800850001096208
R020001290313540042300000000000000000000000012400000001096808
R030001290313580069300000000000000000000051005700820000096808
R030002130115360043200000000000000000000000000000000000098008
R030003130115360043200000000000000000000000000400000000098008
R030004130115360043100000000000000000000000000900000000098008
R030005130115360043100000000000000000000001001400070001098008
R030006130115360043100000000000000000000001001900070001098008
R030007130115360043000000000000000000000001002400070001098008
R030008130115360043000000000000000000000001002800060001098008
R030009130115360043100000000000000000000001003300050001098008
R030010130115360043100000000000000000000001003800040001098008
R030011130115360043100000000000000000000001004300030001098008
R030012130115360043100000000000000000000001004800020001098008
R030013130115360043400000000000000000000000005200000001098008
R030014130115370043400000000000000000000001005700010000098008
R030015130115370043400000000000000000000001006200020000098008
R030016130115370043100000000000000000000001006700010000098008
R030017130115370043000000000000000000000000007200000000098008
R030018130115370042900000000000000000000000007600000001098008
R030019130115370043000000000000000000000000008100000001098008
R030020130115370043000000000000000000000000008600010001098008
R030021130115370043000000000000000000000001009100010001098008
R030022130115370043000000000000000000000001009600010001098008
R030023130115370042900000000000000000000001010000010001098008
R030024130115370042800000000000000000000002010500020001098008
R030025130115370042800000000000000000000002011000020001098008
R030026130115370043000000000000000000000002011500020001098008
R030027130115380042900000000000000000000002012000020001098008
R030028130115380042900000000000000000000003012400020001098008
R030029130115400042900000000000000000000000000000000000098008
R030030130115400042900000000000000000000000000400000000098008
R030031130115410042900000000000000000000000000900000000098008
R030032130115410042800000000000000000000001001400060001098008
R030033130115410042900000000000000000000000001900020001098008
R030034130115410042900000000000000000000000002400010001098008
R030035130115410042900000000000000000000000002800010001098008
R030036130115410042900000000000000000000000003300010001098008
R030037130115410042900000000000000000000000003800010001098008
R030038130115410043000000000000000000000000004300000000098008
R030039130115410043100000000000000000000000004800010000098008
R030040130115410043200000000000000000000001005200030000098008
R030041130115410043100000000000000000000002005700030000098008
R030042130115410043100000000000000000000002006200030000098008
R030043130115420043000000000000000000000002006700030000098008
R030044130115420043000000000000000000000002007200030000098008
R030045130115420043000000000000000000000002007600020000098008
R030046130115420043100000000000000000000002008100020000098008
R030047130115420043000000000000000000000002008600020000098008
R030048130115420043400000000000000000000002009100030000098008
R030049130115420043900000000000000000000004009600040000098008
R030050130115420043700000000000000000000006010000050000098008
R030051130115420044300000000000000000000008010500070000098008
R030052130115420044100000000000000000000010011000080000098008
R030053130115420044600000000000000000000012011500100000098008
R030054130115420044300000000000000000000013012000100000098008
R030055130115420044200000000000000000000014012400110000098008
R030058130117170046700000000000000000000000000000000000097908
R030059130117170046600000000000000000000000000400000000098008
R030060130117170046600000000000000000000000000900000000098008
R030061130117170046700000000000000000000000001400040001097908
R030062130117170046600000000000000000000000001900040001097908
R030063130117170046600000000000000000000001002400040001097908
R030064130117170046500000000000000000000001002800040001097908
R030065130117170046400000000000000000000002003300060001098008
R030066130117170046500000000000000000000002003800060001097908
R030067130117170046400000000000000000000002004300060001097908
R030068130117180051700000000000000000000020004801370001098008
R030069130117180389800000000000000000001467005275660001098008
Z"
